"UserName";"DisplayName";"UserPrincipalName";"NewPassword";"Domain";"ResourceGroupName";"InviteRedeemUrl"
"courseuser1";"Course User 1";"";"";"coursetenant1.onmicrosoft.com";"CourseUser1ResourceGroup";""
"courseuser2";"Course User 2";"";"";"coursetenant2.onmicrosoft.com";"CourseUser2ResourceGroup";""
"courseuser3";"Course User 3";"";"";"coursetenant3.onmicrosoft.com";"CourseUser3ResourceGroup";""
"courseuser4";"Course User 4";"";"";"coursetenant4.onmicrosoft.com";"CourseUser4ResourceGroup";""
"courseuser5";"Course User 5";"";"";"coursetenant5.onmicrosoft.com";"CourseUser5ResourceGroup";""
"courseuser6";"Course User 6";"";"";"coursetenant6.onmicrosoft.com";"CourseUser6ResourceGroup";""
"courseuser7";"Course User 7";"";"";"coursetenant7.onmicrosoft.com";"CourseUser7ResourceGroup";""
"courseuser8";"Course User 8";"";"";"coursetenant8.onmicrosoft.com";"CourseUser8ResourceGroup";""
"courseuser9";"Course User 9";"";"";"coursetenant9.onmicrosoft.com";"CourseUser9ResourceGroup";""
"courseuser10";"Course User 10";"";"";"coursetenant10.onmicrosoft.com";"CourseUser10ResourceGroup";""
"courseuser11";"Course User 11";"";"";"coursetenant11.onmicrosoft.com";"CourseUser11ResourceGroup";""
"courseuser12";"Course User 12";"";"";"coursetenant12.onmicrosoft.com";"CourseUser12ResourceGroup";""
